scene_id,chapter,pov,date,location,npcs,props,seeds,payoffs,source_ids,file_id
.release_pr_body-s01,,,,,,,,,,.release_pr_body
000_diplomagic_next_task-s01,,,,,,,,,,000_diplomagic_next_task
archive_index_diplomagic-s01,,,,,,,,,,archive_index_diplomagic
auto_merge_report-s01,,,,,,,,,,auto_merge_report
changelog-s01,,,,,,,,,,changelog
changelog_auto-s01,,,,,,,,,,changelog_auto
contributing-s01,,,,,,,,,,contributing
corkboard — 2025-08-17 — canvas audit and chat alignment-s01,,,2025-08-17,,,,,,,corkboard — 2025-08-17 — canvas audit and chat alignment
departments — roster-s01,,,2025-08-17,,,,,,,departments — roster
diplomagic_gdd_automerge_runbook-s01,,,,,,,,,,diplomagic_gdd_automerge_runbook
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
mail — dashboard-s01,,,2025-08-17,,,,,,,mail — dashboard
master_manifest-s01,,,,,,,,,,master_manifest
merge-body-s01,,,,,,,,,,merge-body
pr_body-s01,,,,,,,,,,pr_body
readme-s01,,,,,,,,,,readme
release-notes-s01,,,,,,,,,,release-notes
release-s01,,,,,,,,,,release
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
sec-epilogue-s01,,,,,,,,,,sec-epilogue
tdd-evidence+fieldpad - technical design document-s01,,,2025-08-11,,,,,,,tdd-evidence+fieldpad - technical design document
readme_pr_commenter-s01,,,,,,,,,,readme_pr_commenter
corkboard_department_ack_macro-s01,,,,,,,,,,corkboard_department_ack_macro
department_charters_pack-s01,,,2025-08-16,,,,,,,department_charters_pack
department_macros_guide-s01,,,,,,,,,,department_macros_guide
mail_department_dashboard-s01,,,,,,,,,,mail_department_dashboard
optimization_macro_departments_subcontractors-s01,,,,,,,,,,optimization_macro_departments_subcontractors
org_notice_department_leads-s01,,,,,,,,,,org_notice_department_leads
project_workspace_instructions-s01,,,,,,,,,,project_workspace_instructions
repodirs-s01,,,,,,,,,,repodirs
archive_pack_20250816-1022_ci_epilogue-asserts-s01,,,,,,,,,,archive_pack_20250816-1022_ci_epilogue-asserts
archive_pack_gdd_rebuild_2025-08-16_0809et-s01,,,,,,,,,,archive_pack_gdd_rebuild_2025-08-16_0809et
archive_pack_gdd_rebuild_2025-08-16_1831et-s01,,,2025-08-16T18:31:00-04:00,,,,,,,archive_pack_gdd_rebuild_2025-08-16_1831et
archive_release_notes_v_0-s01,,,,,,,,,,archive_release_notes_v_0
release_notes_v0.1-docs-structure-s01,,,,,,,,,,release_notes_v0.1-docs-structure
repo_snapshot-s01,,,,,,,,,,repo_snapshot
enemy systems department — notes (archived 2025-08-17)-s01,,,2025-08-17,,,,,,,enemy systems department — notes (archived 2025-08-17)
statblocks & enemies department — charter (archived 2025-08-17)-s01,,,2025-08-17,,,,,,,statblocks & enemies department — charter (archived 2025-08-17)
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
sec-14-qa - quality assurance test plan-s01,,,2025-08-12,,,,,,,sec-14-qa - quality assurance test plan
diplomagic_gdd_combined-s01,,,2025-08-11,,,,,,,diplomagic_gdd_combined
sec-01-front - front matter & executive summary-s01,,,2025-08-11,,,,,,,sec-01-front - front matter & executive summary
sec-02-pillars - pillars & audience-s01,,,2025-08-11,,,,,,,sec-02-pillars - pillars & audience
sec-03-narrative - narrative-s01,,,2025-08-11,,,,,,,sec-03-narrative - narrative
sec-03_3.2_chapter_list_replace-s01,,,,,,,,,,sec-03_3.2_chapter_list_replace
sec-04-loops - core gameplay loops-s01,,,2025-08-11,,,,,,,sec-04-loops - core gameplay loops
sec-05-systems - systems & mechanics-s01,,,2025-08-11,,,,,,,sec-05-systems - systems & mechanics
"sec-06-world - world, levels, & content-s01",,,2025-08-11,,,,,,,"sec-06-world - world, levels, & content"
"sec-07-ui - ui-ux (devices, hud, menus)-s01",,,2025-08-11,,,,,,,"sec-07-ui - ui-ux (devices, hud, menus)"
sec-08-artaudio - art direction & audio-s01,,,2025-08-11,,,,,,,sec-08-artaudio - art direction & audio
sec-09-tech - technology & performance targets-s01,,,2025-08-11,,,,,,,sec-09-tech - technology & performance targets
sec-10-production - production plan & milestones-s01,,,2025-08-11,,,,,,,sec-10-production - production plan & milestones
"sec-11-qa - qa, localization, accessibility-s01",,,2025-08-11,,,,,,,"sec-11-qa - qa, localization, accessibility"
"sec-12-risks - risks, legal, ratings-s01",,,2025-08-11,,,,,,,"sec-12-risks - risks, legal, ratings"
sec-13-appendices - appendices-s01,,,2025-08-11,,,,,,,sec-13-appendices - appendices
